"Year","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1969,"Rod Laver",1,"AUS","Andrés Gimeno",9,"ESP","6–3, 6–4, 7–5"
1970,"Arthur Ashe",4,"USA","Dick Crealy",12,"AUS","6–4, 9–7, 6–2"
1971,"Ken Rosewall",2,"AUS","Arthur Ashe",3,"USA","6–1, 7–5, 6–3"
1972,"Ken Rosewall",2,"AUS","Malcolm Anderson",8,"AUS","7–6(7–2), 6–3, 7–5"
1973,"John Newcombe",2,"AUS","Onny Parun",12,"NZL","6–3, 6–7, 7–5, 6–1"
1974,"Jimmy Connors",2,"USA","Phil Dent",9,"AUS","7–6(9–7), 6–4, 4–6, 6–3"
1975,"John Newcombe",2,"AUS","Jimmy Connors",1,"USA","7–5, 3–6, 6–4, 7–6(9–7)"
1976,"Mark Edmondson",0,"AUS","John Newcombe",2,"AUS","6–7, 6–3, 7–6, 6–1"
1977,"Roscoe Tanner",2,"USA","Guillermo Vilas",1,"ARG","6–3, 6–3, 6–3"
1977,"Vitas Gerulaitis",1,"USA","John Lloyd",0,"GBR","6–3, 7–6(7–1), 5–7, 3–6, 6–2"
1978,"Guillermo Vilas",1,"ARG","John Marks",0,"AUS","6–4, 6–4, 3–6, 6–3"
1979,"Guillermo Vilas",1,"ARG","John Sadri",6,"USA","7–6(7–4), 6–3, 6–2"
1980,"Brian Teacher",8,"USA","Kim Warwick",14,"AUS","7–5, 7–6(7–4), 6–3"
1981,"Johan Kriek",4,"RSA","Steve Denton",0,"USA","6–2, 7–6(7–1), 6–7(1–7), 6–4"
1982,"Johan Kriek",1,"USA","Steve Denton",2,"USA","6–3, 6–3, 6–2"
1983,"Mats Wilander",3,"SWE","Ivan Lendl",1,"TCH","6–1, 6–4, 6–4"
1984,"Mats Wilander",2,"SWE","Kevin Curren",9,"RSA","6–7(5–7), 6–4, 7–6(7–3), 6–2"
1985,"Stefan Edberg",6,"SWE","Mats Wilander",3,"SWE","6–4, 6–3, 6–3"
1987,"Stefan Edberg",4,"SWE","Pat Cash",11,"AUS","6–3, 6–4, 3–6, 5–7, 6–3"
1988,"Mats Wilander",3,"SWE","Pat Cash",4,"AUS","6–3, 6–7(3–7), 3–6, 6–1, 8–6"
1989,"Ivan Lendl",2,"TCH","Miloslav Mečíř",9,"TCH","6–2, 6–2, 6–2"
1990,"Ivan Lendl",1,"TCH","Stefan Edberg",3,"SWE","4–6, 7–6(7–3), 5–2 retired"
1991,"Boris Becker",2,"GER","Ivan Lendl",3,"TCH","1–6, 6–4, 6–4, 6–4"
1992,"Jim Courier",2,"USA","Stefan Edberg",1,"SWE","6–3, 3–6, 6–4, 6–2"
1993,"Jim Courier",1,"USA","Stefan Edberg",2,"SWE","6–2, 6–1, 2–6, 7–5"
1994,"Pete Sampras",1,"USA","Todd Martin",9,"USA","7–6(7–4), 6–4, 6–4"
1995,"Andre Agassi",2,"USA","Pete Sampras",1,"USA","4–6, 6–1, 7–6(8–6), 6–4"
1996,"Boris Becker",4,"GER","Michael Chang",5,"USA","6–2, 6–4, 2–6, 6–2"
1997,"Pete Sampras",1,"USA","Carlos Moyá",0,"ESP","6–2, 6–3, 6–3"
1998,"Petr Korda",6,"CZE","Marcelo Ríos",9,"CHI","6–2, 6–2, 6–2"
1999,"Yevgeny Kafelnikov",10,"RUS","Thomas Enqvist",0,"SWE","4–6, 6–0, 6–3, 7–6(7–1)"
2000,"Andre Agassi",1,"USA","Yevgeny Kafelnikov",2,"RUS","3–6, 6–3, 6–2, 6–4"
2001,"Andre Agassi",6,"USA","Arnaud Clément",15,"FRA","6–4, 6–2, 6–2"
2002,"Thomas Johansson",16,"SWE","Marat Safin",9,"RUS","3–6, 6–4, 6–4, 7–6(7–4)"
2003,"Andre Agassi",2,"USA","Rainer Schüttler",31,"GER","6–2, 6–2, 6–1"
2004,"Roger Federer",2,"SUI","Marat Safin",0,"RUS","7–6(7–3), 6–4, 6–2"
2005,"Marat Safin",4,"RUS","Lleyton Hewitt",3,"AUS","1–6, 6–3, 6–4, 6–4"
2006,"Roger Federer",1,"SUI","Marcos Baghdatis",0,"CYP","5–7, 7–5, 6–0, 6–2"
2007,"Roger Federer",1,"SUI","Fernando González",10,"CHI","7–6(7–2), 6–4, 6–4"
2008,"Novak Djokovic",3,"SRB","Jo-Wilfried Tsonga",0,"FRA","4–6, 6–4, 6–3, 7–6(7–2)"
2009,"Rafael Nadal",1,"ESP","Roger Federer",2,"SUI","7–5, 3–6, 7–6(7–3), 3–6, 6–2"
2010,"Roger Federer",1,"SUI","Andy Murray",5,"GBR","6–3, 6–4, 7–6(13–11)"
2011,"Novak Djokovic",3,"SRB","Andy Murray",5,"GBR","6–4, 6–2, 6–3"
2012,"Novak Djokovic",1,"SRB","Rafael Nadal",2,"ESP","5–7, 6–4, 6–2, 6–7(5–7), 7–5"
2013,"Novak Djokovic",1,"SRB","Andy Murray",3,"GBR","6–7(2–7), 7–6(7–3), 6–3, 6–2"
2014,"Stan Wawrinka",8,"SUI","Rafael Nadal",1,"ESP","6–3, 6–2, 3–6, 6–3"
2015,"Novak Djokovic",1,"SRB","Andy Murray",6,"GBR","7–6(7–5), 6–7(4–7), 6–3, 6–0"
2016,"Novak Djokovic",1,"SRB","Andy Murray",2,"GBR","6–1, 7–5, 7–6(7–3)"
2017,"Roger Federer",17,"SUI","Rafael Nadal",9,"ESP","6–4, 3–6, 6–1, 3–6, 6–3"
2018,"Roger Federer",2,"SUI","Marin Cilic",6,"CRO","6-2, 6-7(7-5), 6-3, 3-6, 6-1"
2019,"Novak Djokovic",1,"SRB","Rafael Nadal",2,"ESP","6–3, 6–2, 6–3"
2020,"Novak Djokovic",2,"SRB","Dominic Thiem",5,"AUT","6-4, 4-6, 2-6, 6-3, 6-4"
2021,"Novak Djokovic",1,"SRB","Daniil Medvedev",4,"RUS","7-5, 6-2, 6-2"
